,time up,up tired,comment,time down
2021-12-04,14.0,1,,
2021-12-05,9.0,1,,
2021-12-06,15.0,0,,
2021-12-07,7.0,True,dormis avec Morgan la veille,4.0
2021-12-08,12.0,0,,
2021-12-09,13.0,1,rendormis je crois,
2021-12-10,13.0,1,rendormis sur le canap en ecoutant hisoriocrat issou,
2021-12-11,8.0,True,,
2021-12-12,15.0,,,4.0
2021-12-13,8.0,False,,2.0
2021-12-14,13.0,False,"""me suis reveillé en sueur trempé au millieu de la nuit jsp pk""",
2021-12-15,13.0,False,rendormis canap,23.0
2021-12-16,7.0,False,,23.0
2021-12-17,13.0,False,,5.0
2021-12-18,13.0,False,,4.0
2021-12-19,12.0,False,,3.0
2021-12-22,11.0,False,,3.0
2022-01-15,10.0,,,2.0
2022-01-16,12.0,0,oublié mon chauffage allumé,2.0
2022-01-17,12.0,,,3.0
2022-01-18,11.0,0,rendormis canap,1.0
2022-01-19,9.0,,,1.0
2022-01-20,11.0,0,"reveillé en sueur, oublié mes bouchon réveillés a cause du bruit",2.0
2022-01-21,10.0,1,,2.0
2022-01-22,9.0,1,,2.0
2022-01-26,12.0,1,rendormis canap,4.0
2022-01-27,12.0,,,4.0
2022-01-31,9.0,0,,2.0
2022-02-01,13.0,,"fait de la merde avec mon reveille, rendormis",3.0
2022-02-02,12.0,1,,5.0
2022-02-11,11.0,1,,2.0
2022-02-15,12.0,,,3.0
2022-02-16,11.0,,,3.0
2022-02-17,9,,,2
